cui,nombre_pip,monto_inversion,monto_actualizado,fecha_ultimamodificacion
2181474,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR, PEATONAL Y ACONDICIONAMIENTO URBANO DE LA VÍA PRINCIPAL ENTRE LAS MANZANAS L, M, N, G1, O, F Y E DE LA APV. VIRGEN  CONCEPCIÓN, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 4,563,478.00","S/. 5,759,082.23",22/04/2019 02:29:09 p.m.
2181654,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN EN  LA I.E. INTEGRADA N 38615 DE LA COMUNIDAD DE PALESTINA ALTA, DEL CENTRO POBLADO DE CHIRUMPIARI, DISTRITO DE KIMBIRI - LA CONVENCION - CUSCO","S/. 3,518,293.00","S/. 4,200,370.86",03/11/2014 04:48:50 p.m.
2181879,"MEJORAMIENTO DE SISTEMA DE SANEAMIENTO BASICO EN LA C.C. DE CACHUPATA, DISTRITO DE SAN JERONIMO - CUSCO - CUSCO","S/. 401,876.53","S/. 562,044.44",
2181917,"MEJORAMIENTO DE VIA CON ASFALTADO TRAMO PAUCARTAMBO-URBANIZACION LLAYCHU, DISTRITO DE PAUCARTAMBO, PROVINCIA DE PAUCARTAMBO - CUSCO","S/. 5,938,872.00","S/. 7,110,696.15",30/09/2021 12:06:18 p.m.
2182015,"MEJORAMIENTO DEL CAMPO DEPORTIVO DEL SECTOR TAMBORACCAY EN LA COMUNIDAD CAMPESINA SIMATAUCCA DEL DISTRITO DE CHINCHERO, PROVINCIA DE URUBAMBA - CUSCO","S/. 730,840.08","S/. 864,804.35",30/09/2021 06:43:01 p.m.
2182360,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD EN LA CALLE QENCO CIUDAD DE LARES , DISTRITO DE LARES, PROVINCIA DE CALCA - CUSCO","S/. 315,332.48","S/. 285,890.00",20/06/2014 11:14:11 a.m.
2182682,"MEJORAMIENTO Y AMPLIACION  DEL SISTEMA DE SANEAMIENTO BASICO EN LA LOCALIDAD DE INGATA, DISTRITO DE CHAMACA - CHUMBIVILCAS - CUSCO","S/. 1,102,924.27","S/. 1,628,043.60",
2182794,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO EDUCATIVO EN LA I.E INICIAL N 795   DE LA COMUNIDAD DE SIRENACHAYOCC DEL CENTRO POBLADO DE TAHUANTINSUYO LOBO , DISTRITO DE KIMBIRI - LA CONVENCION - CUSCO","S/. 1,730,777.00","S/. 1,759,811.70",
2182825,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE PROPIETARIOS DE VIVIENDA EDGAR GONZALES MEDINA DEL BARRIO ALTO MISQUIRI DEL DISTRITO DE SICUANI, PROVINCIA DE CANCHIS - CUSCO","S/. 367,364.68","S/. 579,839.96",21/12/2018 05:20:20 p.m.
2182858,"MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE SANEAMIENTO BÁSICO INTEGRAL EN LA COMUNIDAD DE PONGOÑA DISTRITO DE YANAOCA, PROVINCIA DE CANAS - CUSCO","S/. 1,966,462.00","S/. 1,969,446.41",22/12/2021 11:48:03 a.m.
2182876,"MEJORAMIENTO Y CONSTRUCCION DEL SISTEMA DE RIEGO CON RESERVORIO EN LOS SECTORES DE SAN CRISTOBAL ALTO, SAN CRISTOBAL DE VILCACONGA EN LA C.C HUAMANCHACONA, DISTRITO DE ANCAHUASI - ANTA - CUSCO","S/. 1,631,146.74","S/. 1,986,143.90",03/02/2022 09:45:56 a.m.
2182908,"MEJORAMIENTO Y REHABILITACION DE LA CARRETERA DEL CENTRO POBLADO DE TINKE  - PACCHANTA, DISTRITO DE OCONGATE - QUISPICANCHI - CUSCO","S/. 1,681,075.00",S/. 0.00,
2182948,"RECUPERACION DE LAS AREAS DEGRADADAS CON ACCIONES AMBIENTALES SOSTENIBLES A TRAVES DE LA REFORESTACION EN 05 SECTORES DE LA MARGEN DERECHA DEL RIO ALTO URUBAMBA DE LA ZONAL DE KITENI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 7,723,951.00","S/. 4,462,015.08",07/10/2019 02:30:03 p.m.
2183133,"MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE DEL AA.HH LUIS VALLEJO SANTONI-COMITE 1, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 244,034.21","S/. 244,034.24",
2183136,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ELIMINACION DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE CHOCCO, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 364,520.05","S/. 364,520.05",
2183138,"AMPLIACION Y REHABILITACIÓN DEL SISTEMA DE SANEAMIENTO BÁSICO INTEGRAL DE LA COMUNIDAD CAMPESINA DE CHECCOPUCA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 342,017.12","S/. 342,017.15",
2183153,"MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO BASICO DE LA COMUNIDAD CAMPESINA DE ANCASCHACA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 369,878.06","S/. 369,878.18",
2183154,"MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL DE LA COMUNIDAD CAMPESINA DE MAYRASCO, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 369,233.90","S/. 369,233.95",
2183230,"MEJORAMIENTO DE LA CADENA PRODUCTIVA DE ALPACAS EN CINCO LOCALIDADES DE LOS DISTRITOS DE MARANGANI Y SICUANI , PROVINCIA DE CANCHIS - CUSCO","S/. 901,340.23","S/. 1,182,971.78",
2183314,"MEJORAMIENTO DEL CIRCUITO VIAL ALTO QOSQO, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 9,697,964.00","S/. 12,929,947.53",29/09/2021 08:23:25 p.m.
2183366,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LAS CALLES 29 DE JUNIO, LOS SAUCES, LOS CLAVELES, GERANIOS, FLORES, KANTU, PROLONGACION MILLER, MANANTIALES, MIRAFLORES, Y PROLONGACION LOS DESCALZOS DEL A.P.V. CORICANCHA DEL DISTRITO DE CAL","S/. 8,137,186.00","S/. 9,346,223.04",30/09/2021 01:27:46 p.m.
2183403,"MEJORAMIENTO DE LA  TRANSITABILIDAD  VEHICULAR Y PEATONAL DE LA CALLE PRINCIPAL EN LA APV JOSE MARIA ARGUEDAS, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 1,965,006.00","S/. 2,220,648.74",28/12/2021 10:30:35 p.m.
2183405,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LA CALLE 9 DE JUNIO DE LA MANZANA “A” DEL AA.HH. LA ESTRELLA, 1RA ETAPA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 1,038,182.83","S/. 1,128,685.06",28/12/2021 10:34:31 p.m.
2183412,"INSTALACION E IMPLEMENTACION DEL CENTRO DE ACOPIO Y COMERCIALIZACION DE PRODUCTOS REPRESENTATIVOS DE QUISPICANCHI EN LA LOCALIDAD DE URCOS, PROVINCIA DE QUISPICANCHI - CUSCO","S/. 3,998,330.00","S/. 4,641,701.65",
2183606,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE RIEGO EN LOS SECTORES DE MANDOR , ROSASPATA-BALSAPAMPA CHICO, MANAHUAÑUNCA BAJA, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 2,932,328.00","S/. 4,099,366.95",
2183779,"INSTALACION DEL SISTEMA DE RIEGO POR ASPERSIÓN ALCUZAMA ALTA, ALCUZAMA BAJA, CALCAPAMPA - VILLA CERRADA Y PAMPA ECHARATI - SANTA GENARA- ZONAL DE ECHARATI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 42,105,586.00","S/. 28,245,844.13",31/08/2021 05:38:21 p.m.
2183780,"MEJORAMIENTO DE LA CALIDAD DEPORTIVA Y CULTURAL MEDIANTE LA IMPLEMENTACIÓN ADECUADA Y EFICIENTE DEL ENFOQUE INTERCULTURAL EN JÓVENES DE LAS CC.NN DEL BAJO URUBAMBA SUR, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,132,295.00","S/. 7,398,061.33",09/02/2022 08:21:35 a.m.
2183789,"CONSTRUCCION DE LA CARRETERA AMARILLUYOC - KEMALUYOC - CHAHUARES, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 7,511,117.00","S/. 5,602,429.29",11/02/2022 12:50:06 p.m.
2183916,"MEJORAMIENTO DE LOS SERVICIOS DE SALUD  EN EL ESTABLECIMIENTO DE SALUD DE LLUSCO- RED CUSCO SUR, DISTRITO DE LLUSCO, PROVINCIA DE CHUMBIVILCAS, REGIÓN CUSCO","S/. 10,227,572.00","S/. 18,642,144.88",16/02/2022 11:16:51 a.m.
2184182,"MEJORAMIENTO DE LA TRANSITABILIDAD  VEHICULAR  Y PEATONAL ENTRE LAS APVS. VIRGEN CONCEPCIÓN Y JARDINES, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 4,110,378.00","S/. 2,489,625.46",28/01/2022 10:53:12 a.m.
2184187,"MEJORAMIENTO DE LA PRODUCCION APICOLA, EN ARMONIA CON LA DIVERSIDAD CLIMATICA DE LA ZONAL ECHARATI , DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 5,265,027.00","S/. 4,216,357.48",16/02/2022 04:57:33 p.m.
2184189,"MEJORAMIENTO Y AMPLIACION DEL LOCAL DE USOS MULTIPLES Y SERVICIOS COMPLEMENTARIOS PARA LA CC. NN. DE NUEVO MUNDO, ZONAL BAJO URUBAMBA NORTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 4,386,836.00","S/. 3,903,343.28",
2184190,"RECUPERACION DE LA COBERTURA ARBOREA EN LOS SECTORES DE CONFIANZA, LA VICTORIA, BAJO ICHIQUIATO, ICHIQUIATO ALTO KORIBENI Y COMUNIDAD NATIVA KORIBENI MARGEN IZQUIERDA DEL RIO ALTO URUBAMBA, ZONAL PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUS","S/. 5,342,645.00","S/. 6,668,302.89",08/09/2021 11:00:43 a.m.
2184191,"MEJORAMIENTO Y DESARROLLO DE CAPACIDADES TECNICO PRODUCTIVAS DE LOS PRODUCTORES DE CACAO DE LAS COMUNIDADES NATIVAS DE NUEVO MUNDO, NUEVA VIDA Y NUEVA LUZ, BAJO URUBAMBA, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 7,749,702.00","S/. 9,371,777.74",15/02/2022 03:30:16 p.m.
2184197,"MEJORAMIENTO Y AMPLIACION DEL LOCAL DE USOS MULTIPLES Y SERVICIOS COMPLEMENTARIOS PARA LA CC. NN. DE TIMPIA, ZONAL BAJO URUBAMBA SUR, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 4,058,183.00","S/. 3,797,320.48",
2184202,"RECUPERACION Y CONSERVACION DE LA BIODIVERSIDAD DE LOS HUMEDALES EN EL, DISTRITO DE OCONGATE - QUISPICANCHI - CUSCO","S/. 3,911,765.00","S/. 4,060,104.00",
2184206,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA PARA RIEGO EN LOS BARRIOS CCAYARANI, MARCCARANI, MARAMPAMPA, UNURAQUINA Y HUARAPUÑUNA DE LA C.C. QUISINI, DISTRITO DE MARANGANI - CANCHIS - CUSCO","S/. 1,960,880.00","S/. 2,145,305.98",07/06/2018 08:56:36 a.m.
2184320,"MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E. INICIAL Nº 172 DEL CENTRO POBLADO DE CHANCAMAYO, DISTRITO DE QUELLOUNO - LA CONVENCION - CUSCO","S/. 917,936.62","S/. 1,169,296.52",
2184322,"MEJORAMIENTO DE LA GESTION DE LOS SERVICIOS PARA PREVENIR Y REDUCIR LA DESNUTRICION DE NIÑOS MENORES DE CINCO AÑOS EN EL VALLE DE CHIRUMBIA, DISTRITO DE QUELLOUNO - LA CONVENCION - CUSCO","S/. 2,440,506.00","S/. 3,172,454.18",22/09/2021 11:04:24 a.m.
2184665,"MEJORAMIENTO DE LOS CENTROS DE RECURSOS EDUCATIVOS EN LAS INSTITUCIONES EDUCATIVAS DE NIVEL PRIMARIO DE LA ZONAL ECHARATE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,946,978.00","S/. 2,655,331.62",11/02/2022 12:14:14 p.m.
2184666,"RECUPERACION DE LA COBERTURA ARBOREA CON FINES AMBIENTALES DE LAS MICROCUENCAS SHIMA Y KUVIRIARI, DE LA SUB CUENCA KUMPIRUSHIATO MARGEN IZQUIERDA, ZONAL KEPASHIATO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 6,928,158.00","S/. 5,905,587.25",30/09/2021 12:11:41 p.m.
2184668,"INSTALACION DE ALERTAS TEMPRANAS FRENTE A LOS POTENCIALES EFECTOS NEGATIVOS DE LA RADIACION ULTRAVIOLETA, EN LAS I.E N 64444, 501353, 50982, 501163 DE LA ZONAL DE KEPASHIATO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 1,283,791.00","S/. 1,783,190.59",
2184669,"MEJORAMIENTO Y DESARROLLO DE  CAPACIDADES TECNICO PRODUCTIVO DE LOS PRODUCTORES DE CACAO DE LAS COMUNIDADES NATIVAS DE MIARIA, SENSA, PUERTO RICO Y ASENTAMIENTO RURAL DE VISTA ALEGRE DE MISHAHUA DE LA ZONAL BAJO URUBAMBA , DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 8,049,135.00","S/. 10,319,392.14",15/02/2022 03:22:21 p.m.
2184680,"CREACION DEL CENTRO INTEGRAL PARA LA PRESTACION DE SERVICIOS COMUNALES EN LA COMUNIDAD DE ESPERANZA ALTA, ZONAL DE ECHARATI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 368,130.19","S/. 385,833.51",
2184745,"INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL EN LAS COMUNIDADES DE PALMAYOC, SANTA ROSA Y CARMEN ALTO, ZONAL PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,456,089.00","S/. 3,336,138.58",13/12/2018 09:51:40 a.m.
2184746,"INSTALACION DEL SISTEMA DE SANEAMIENTO BÁSICO INTEGRAL LA COMUNIDAD DE ALTO KIMARIATO, ZONAL PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,833,664.00","S/. 2,674,673.95",30/09/2021 01:06:01 p.m.
2184763,"RECUPERACION DE LOS SUELOS DEGRADADOS Y VULNERABLES EN CUATRO MICROCUENCAS Y UNA SUBCUENCA, DISTRITO DE PICHARI - LA CONVENCION - CUSCO","S/. 9,604,321.00","S/. 6,305,017.06",21/08/2019 05:00:10 p.m.
2185235,"INSTALACION DEL SISTEMA DE RIEGO POR ASPERSION EN EL SECTOR DE LUCMAPATA, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 6,851,612.00","S/. 8,904,137.56",30/09/2021 04:36:49 p.m.
2185241,"AMPLIACION Y MEJORAMIENTO DE LA OFERTA DE LOS SERVICIOS EDUCATIVOS DE LA I.E. N 501130 OZONAMPIATO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 4,320,605.00","S/. 4,457,265.54",10/04/2018 12:50:43 p.m.
2185246,"MEJORAMIENTO Y DESARROLLO DE LAS CAPACIDADES TECNICO PRODUCTIVO DE LOS PRODUCTORES DE CACAO DE LAS COMUNIDADES NATIVAS DE PUERTO HUALLANA, CAMANA Y MAYAPO EN LA ZONAL DE BAJO URUBAMBA, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 8,314,292.00","S/. 12,446,270.27",30/09/2021 07:33:49 p.m.
2185440,"MEJORAMIENTO DE LA PRESTACION DE SERVICIOS DE SALUD DEL PUESTO DE CHAHUARES, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 1,824,349.00",S/. 0.00,
2185444,"MEJORAMIENTO DE LA CAPACIDAD OPERATIVA DE LOS SERVICIOS DE SANEAMIENTO BASICO RURAL EN LAS COMUNIDADES  DE NUEVA LUZ, NUEVA VIDA, SENSA, MIARIA Y PUERTO RICO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,326,251.00","S/. 4,965,578.82",11/12/2018 09:41:21 a.m.
2185447,"CONSTRUCCION DE LA CARRETERA KOSHIRENI - SELVA ALEGRE - MARGEN IZQUIERDA ZONAL DE KITENI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 6,471,705.00","S/. 6,063,769.84",30/09/2021 04:33:32 p.m.
2185450,"CONSTRUCCION DEL PUENTE CARROZABLE KAPASHIARI, C.P.M. IVOCHOTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 1,451,299.00","S/. 1,289,792.61",07/08/2015 04:55:00 p.m.
2185457,"MEJORAMIENTO DE LA VIA DE ACCESO A LAS APVS PERLA DE GRAU, PROCASA, PRIMAVERA Y UVIMA V, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 1,238,914.00","S/. 1,652,118.75",30/09/2021 11:16:26 a.m.
2185573,"MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE LA I.E 56390 DE TINCURCA, DISTRITO DE CHAMACA - CHUMBIVILCAS - CUSCO","S/. 980,000.00","S/. 949,509.30",11/10/2013 07:10:15 a.m.
2185862,"MEJORAMIENTO DEL SISTEMA DE SEÑALIZACION, SEMAFORIZACION Y NOMENCLATURA VIAL Y PEATONAL DEL AREA URBANA, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO","S/. 3,179,040.00","S/. 4,410,747.97",28/06/2018 04:30:09 p.m.
2185871,"AMPLIACION Y MEJORAMIENTO DEL AGUA POTABLE Y DESAGUE EN LA CC DE OCCOPATA, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 3,334,785.00","S/. 5,026,477.44",20/12/2021 08:36:48 a.m.
2185873,"MEJORAMIENTO DEL SERVICIO DE AGUA Y EL ALCANTARILLADO DE LAS CALLES CRUCERO, UNION, SANTIAGO, SANTA ANA DEL BARRIO DE CHECCA CHECCA, DISTRITO DE CHECACUPE - CANCHIS - CUSCO","S/. 209,522.06","S/. 215,864.49",
2185883,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LA AV. MIGUEL GRAU DE LA COOPERATIVA FRANCISCO BOLOGNESI, DISTRITO DE SANTIAGO - CUSCO - CUSCO","S/. 1,941,200.00","S/. 2,572,375.44",22/09/2021 01:47:36 p.m.
2186130,"INSTALACION DE LOCAL DE USO MULTIPLE Y SERVICIOS COMPLEMENTARIOS EN EL ASENTAMIENTO RURAL DE SARINGABENI, ZONAL BAJO URUBAMBA SUR, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,561,240.00","S/. 2,566,899.23",
2186131,"MEJORAMIENTO Y AMPLIACION DEL LOCAL DE USOS MULTIPLES Y SERVICIOS COMPLEMENTARIOS DEL ASENTAMIENTO RURAL VISTA ALEGRE - MISHAHUA, ZONAL BAJO URUBAMBA NORTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,254,966.00","S/. 3,531,658.54",30/10/2018 03:56:38 p.m.
2186135,"MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS PARA EL INCREMENTO DE LOS LOGROS DE APRENDIZAJE EN EL ÁREA DE MATEMÁTICA DE LOS ALUMNOS DE EDUCACIÓN PRIMARIA EN LAS II.EE. DE LA ZONAL NORTE DEL BAJO URUBAMBA, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,444,927.00","S/. 4,369,078.61",30/09/2021 07:49:11 p.m.
2186136,"MEJORAMIENTO DEL CENTRO DE RECURSOS EDUCATIVOS EN LAS INSTITUCIONES EDUCATIVAS DE NIVEL SECUNDARIO DE LA ZONAL BAJO URUBAMBA, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,802,856.00","S/. 3,482,205.87",13/12/2017 07:59:30 p.m.
2186139,"MEJORAMIENTO DE LAS CAPACIDADES TECNICO PRODUCTIVAS DE LOS PRODUCTORES DE RECURSOS ACUICOLAS AMAZONICOS EN LA ZONAL DE IVOCHOTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 9,503,962.00","S/. 5,702,684.20",16/02/2022 04:43:25 p.m.
2186140,"MEJORAMIENTO Y DESARROLLO DE CAPACIDADES TECNICO PRODUCTIVO DE LOS PRODUCTORES DE CACAO DE LAS COMUNIDADES NATIVAS DE TIMPIA, KITAPARAY, KUWAY, TUPAC AMARU, SARINGABENI, CHOCORIARI Y SABABANTIARI DE LA ZONAL SUR BAJO URUBAMBA, DISTRITO DE ECHARATE -","S/. 8,508,534.00","S/. 10,362,316.05",30/09/2021 05:23:45 p.m.
2186145,"CONSTRUCCION DEL RAMAL CARRETERO DE ALTO SANGOBATEA - KINKATENI (MARGEN DERECHA DEL RIO SANGOBATEA), ZONAL DE PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 6,626,352.00",S/. 0.00,
2186187,"CREACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS  EN LA COMUNIDAD DE UNION KIMPIRI  DEL CENTRO POBLADO DE MANTARO, DISTRITO DE PICHARI - LA CONVENCION - CUSCO","S/. 705,403.58","S/. 2,107,143.42",21/12/2021 09:07:16 a.m.
2186190,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LAS APVS DE LA JAAS SUCSO AUCAYLLE, MARGEN DERECHA, DISTRITO DE SAN JERONIMO - CUSCO - CUSCO","S/. 9,089,781.00","S/. 9,308,445.92",05/01/2022 03:16:24 p.m.
2186191,"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN LAS CALLES LOS GERANIOS, LAS MAGNOLIAS, GIRASOLES, KANTUS Y AV. PICOL DE LA APV MACHU PICOL, DISTRITO DE SAN JERONIMO - CUSCO - CUSCO","S/. 2,050,840.00","S/. 3,256,052.07",23/12/2021 08:43:09 a.m.
2186252,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACION PRIMARIA DE LA I.E. N 50983 CHAPO SANATARIATO - ZONAL PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,848,739.00","S/. 3,468,270.85",28/12/2021 10:05:21 a.m.
2186260,"INSTALACION DEL CENTRO DE SERVICIOS MULTIPLES EN LA COMUNIDAD DE PISONAYNIYOC, ZONAL DE ECHARATI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 362,690.87","S/. 409,428.43",
2186262,"CONSTRUCCION DE LA CARRETERA MILAGRUYOC - MANTO REAL, ZONAL ECHARATI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 3,965,998.00",S/. 0.00,
2186431,"MEJORAMIENTO DE LA CARRETERA MARANURA  - MANDOR - PAVAYOCC, DISTRITO DE MARANURA, PROVINCIA DE LA CONVENCION, REGION CUSCO","S/. 65,255,374.00","S/. 50,207,395.18",06/03/2020 10:00:38 a.m.
2186440,"INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO INTEGRAL EN EL ASENTAMIENTO RURAL SAN MARTIN ZONAL IVOCHOTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,192,600.00","S/. 2,393,938.79",30/09/2021 01:12:59 p.m.
2186448,"MEJORAMIENTO Y RECUPERACION DE LA COBERTURA VEGETAL EN LA MICROCUENCA SAN MIGUEL - SAJIRUYOC ZONAL DE ECHARATI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 7,500,944.00","S/. 7,669,459.13",11/02/2022 10:54:28 a.m.
2186452,"CONSTRUCCION DE LA CARRETERA VERSALLES - ANTIBAMBA - APUTINYA, DISTRITO DE MARANURA - LA CONVENCION - CUSCO","S/. 2,654,888.00","S/. 3,461,903.01",14/01/2022 11:36:02 a.m.
2186514,"MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN INICIAL DE LA INSTITUCIONES EDUCATIVAS DE QUISINI, CHECTUYOC, SULLCA, CCUYO, HUISCACHANI Y MAMUERA, DISTRITO DE MARANGANI - CANCHIS - CUSCO","S/. 5,473,456.00","S/. 6,456,538.18",27/11/2018 08:43:41 a.m.
2186692,"MEJORAMIENTO Y AMPLIACION DE LA OFERTA DE SERVICIOS DE EDUCACION PRIMARIA EN LA I.E. N 501139 - KUMPIRUSHIATO - COMUNIDAD MANAGUA, ZONAL KITENI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 4,035,136.00","S/. 3,485,863.51",30/09/2021 12:14:53 p.m.
2186693,"MEJORAMIENTO Y AMPLIACIÓN DE LA OFERTA DE LOS SERVICIOS EDUCATIVOS DE LA I. E. N 50880 DE YOMENTOATO, ZONAL DE PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,833,265.00","S/. 3,511,921.66",04/11/2021 12:36:57 p.m.
2186694,"CONSTRUCCION DEL RAMAL CARRETERO EN LA COMUNIDAD NATIVA DE KORIBENI SECTOR DE CHIVOKIROATO, ZONAL PALMA REAL, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 5,698,318.00","S/. 4,580,616.85",11/02/2022 12:28:58 p.m.
2186843,"RECUPERACION Y CONSERVACION DEL ESTRATO ALTO DEL BOSQUE CON FINES AMBIENTALES EN EL AMBITO DE LA COMUNIDAD NATIVA DE PUERTO RICO, ZONAL BAJO URUBAMBA NORTE,, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 6,789,601.00","S/. 6,988,146.00",23/12/2021 02:33:48 p.m.
2186844,"MEJORAMIENTO Y CONSERVACION DE LA COBERTURA DE LOS BOSQUES  EN LA COMUNIDAD NATIVA DE MIARIA, ZONAL BAJO URUBAMBA NORTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 5,550,368.00","S/. 6,296,829.38",23/12/2021 02:37:37 p.m.
2186845,"MEJORAMIENTO Y CONSERVACION DE LA COBERTURA DEL BOSQUE EN LAS COMUNIDADES NATIVAS DE CAMANA Y MAYAPO - ZONAL BAJO URUBAMBA SUR, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 5,352,395.00","S/. 8,190,961.81",30/09/2021 06:37:09 p.m.
2186846,"MEJORAMIENTO DE LA GESTION INTEGRAL DE RESIDUOS SOLIDOS EN LA LOCALIDAD DE SANIRIATO Y CHINGURIATO DE LA ZONAL DE IVOCHOTE, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 2,167,333.00",S/. 0.00,
2186873,"MEJORAMIENTO DEL CONTROL INTEGRADO DE LA ROYA AMARILLA DEL CAFETO EN LA ZONAL KITENI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 9,951,180.00","S/. 5,381,960.20",30/09/2021 05:08:12 p.m.
2186877,"MEJORAMIENTO DEL MANEJO INTEGRADO DE LA ROYA AMARILLA DEL CAFETO EN LA ZONAL ECHARATI, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO","S/. 9,979,225.00","S/. 5,674,883.70",30/09/2021 03:00:41 p.m.
