región,tipodeservicio,ndeinforme,entidad,títulodelinforme,evento,operativo,npersonasconpresuntarespons,tipoderesponsabilidad,fechaemisión,fechaconclusión,fechapublicación,informe,ficharesumen
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5927-2019-CG/AGR-SCE,PROGRAMA SUBSECTORIAL DE IRRIGACIONES-PSI,Contratación Directa n° 013-2018-Minagri-PSI-1-Servicio de arrendamiento de inmueble para la sede central del Programa Subsectorial de Irrigaciones,,,3,ADMINISTRATIVO ENTIDAD,18/12/2019,19/12/2019,27/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL33200045_ADJUNTO.pdf 2019CPOL33200045,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL33200045.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5695-2019-CG/SIE-SCE,FUERZA AÉREA DEL PERÚ,Proceso de rendición de cuenta de viáticos del personal militar de la Fuerza Aérea del Perú que prestó apoyo en la provincia de Chincha para las Elecciones Regionales y Municipales del 7 de octubre de 2018 y la segunda vuelta de las Elecciones Regionales y Referéndum sobre la Reforma Judicial y Política de 9 de diciembre de 2018,,,20,PENAL ADMINISTRATIVO ENTIDAD,03/12/2019,12/12/2019,20/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL34000116_ADJUNTO.pdf 2019CPOL34000116,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL34000116.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5686-2019-CG/SIE-SCE,FUERZA AÉREA DEL PERÚ,"Proceso de rendición de viáticos del personal de la Fuerza Aérea del Perú que prestó apoyo en la provincia de Pisco, para la segunda vuelta de las Elecciones Regionales y Referéndum sobre la Reforma Judicial y Política de 9 de diciembre de 2018",,,20,PENAL ADMINISTRATIVO ENTIDAD,02/12/2019,13/12/2019,20/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL34000117_ADJUNTO.pdf 2019CPOL34000117,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL34000117.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5685-2019-CG/SIE-SCE,MINISTERIO DE DEFENSA,"Contratación de dos (2) militares en situación de retiro, quienes percibieron simultáneamente honorarios profesionales y pensiones, incumpliendo la normativa vigente.",,,2,ADMINISTRATIVO ENTIDAD,02/12/2019,20/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL34000118_ADJUNTO.pdf 2019CPOL34000118,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL34000118.pdf
P. C. DEL CALLAO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5682-2019-CG/SIE-SCE,MARINA DE GUERRA DEL PERÚ,Proceso de rendición de viáticos de treinta (30) efectivos militares de la Marina de Guerra del Perú que prestó apoyo en las Elecciones Regionales y Municipales de 7 de octubre de 2018,,,30,PENAL ADMINISTRATIVO ENTIDAD,02/12/2019,13/12/2019,20/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL34000119_ADJUNTO.pdf 2019CPOL34000119,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL34000119.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5744-2019-CG/SIE-SCE,POLICÍA NACIONAL DEL PERÚ,Contratación de asesora legal en la secretaría ejecutiva de la Policía Nacional del Perú,,,1,ADMINISTRATIVO ENTIDAD,06/12/2019,17/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL34000120_ADJUNTO.pdf 2019CPOL34000120,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL34000120.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,4045-2019-CG/SIE-SCE,MINISTERIO DEL INTERIOR,Servicio de arrendamiento de inmueble para la sede central de la Dirección General de Gobierno Interior y la Oficina de Planeamiento Estratégico Sectorial,,,6,PENAL ADMINISTRATIVO ENTIDAD,26/11/2019,19/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL34000122_ADJUNTO.pdf 2019CPOL34000122,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL34000122.pdf
P. C. DEL CALLAO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5684-2019-CG/EDUNI-SCE,UNIVERSIDAD NACIONAL DEL CALLAO,Régimen de dedicación de docente de la Facultad de ingeniería Química de la Universidad Nacional del Callao,,,3,CIVIL ADMINISTRATIVO ENTIDAD,02/12/2019,04/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35100035_ADJUNTO.pdf 2019CPOL35100035,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35100035.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5951-2019-CG/EDUNI-SCE,UNIVERSIDAD NACIONAL DE INGENIERÍA - UNI,Informe de Control Específico a la Universidad Nacional de Ingeniería: Ejercicio de la docencia por administrado sancionado con inhabilitación para el ejercicio de la función pública,,,2,ADMINISTRATIVO ENTIDAD,19/12/2019,24/12/2019,27/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35100048_ADJUNTO.pdf 2019CPOL35100048,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35100048.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5955-2019-CG/EDUNI-SCE,UNIDAD DE GESTIÓN EDUCATIVA LOCAL 01,"Informe de Control Específico a la Unidad de Gestión Educativa Local 01- ""Contratación de servicio de mantenimiento de Infraestructura de Instituciones Educativas de Lima Metropolitana, Contrato EXO N° 02-2006-DRELM""",,,3,CIVIL ADMINISTRATIVO ENTIDAD,19/12/2019,24/12/2019,27/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35100049_ADJUNTO.pdf 2019CPOL35100049,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35100049.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,4026-2019-CG/EDUNI-SCE,MINISTERIO DE EDUCACIÓN,"Resolución de contrato de supervisión de obra, Institución Educativa Mariano Melgar-Arequipa",,,8,CIVIL ADMINISTRATIVO ENTIDAD,22/11/2019,23/12/2019,27/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35100050_ADJUNTO.pdf 2019CPOL35100050,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35100050.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3986-2019-CG/JUSPE-SCE,JUNTA NACIONAL DE JUSTICIA,Contratación de dos abogados en el proceso CAS N° 050-2016,,,4,ADMINISTRATIVO ENTIDAD,22/11/2019,22/11/2019,20/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200069_ADJUNTO.pdf 2019CPOL35200069,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200069.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5726-2019-CG/JUSPE-SCE,AUTORIDAD NACIONAL DE SERVICIO CIVIL,Permanencia laboral y desvinculación de personal con inhabilitación vigente para el ejercicio de la función pública,,,1,ADMINISTRATIVO ENTIDAD,05/12/2019,17/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200071_ADJUNTO.pdf 2019CPOL35200071,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200071.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5705-2019-CG/JUSPE-SCE,SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PÚBLICOS - SUNARP - SEDE CENTRAL,Permanencia laboral y desvinculación de personal con inhabilitación vigente para el ejercicio de la función pública,,,1,ADMINISTRATIVO ENTIDAD,04/12/2019,17/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200072_ADJUNTO.pdf 2019CPOL35200072,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200072.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5700-2019-CG/JUSPE-SCE,PRESIDENCIA DEL CONSEJO DE MINISTROS - P C M,Permanencia laboral y desvinculación de personal con inhabilitación vigente para el ejercicio de la función pública,,,1,ADMINISTRATIVO ENTIDAD,03/12/2019,18/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200073_ADJUNTO.pdf 2019CPOL35200073,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200073.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,4077-2019-CG/JUSPE-SCE,MINISTERIO PÚBLICO - FISCALÍA DE LA NACIÓN,Otorgamiento de la buena pro en Concurso Público n° 020-2017-MPFN para el Servicio de Solución Integral de Comunicación y Mensajería Digital y Seguridad Electrónica,,,3,ADMINISTRATIVO ENTIDAD,27/11/2019,18/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200075_ADJUNTO.pdf 2019CPOL35200075,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200075.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5770-2019-CG/JUSPE-SCE,OFICINA NACIONAL DE PROCESOS ELECTORALES - ONPE,Actuaciones preparatorias para la compra de infraestructura de servidor de base de datos e infraestructura de almacenamiento,,,2,ADMINISTRATIVO ENTIDAD,06/12/2019,19/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200076_ADJUNTO.pdf 2019CPOL35200076,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200076.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5699-2019-CG/JUSPE-SCE,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,Permanencia laboral y desvinculación de personal con inhabilitación vigente para el ejercicio de la función pública,,,1,ADMINISTRATIVO ENTIDAD,03/12/2019,18/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200077_ADJUNTO.pdf 2019CPOL35200077,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200077.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5730-2019-CG/JUSPE-SCE,REGISTRO NACIONAL DE IDENTIFICACIÓN Y ESTADO CIVIL-RENIEC,Ausencia de servidor en la entidad difiere con el registro de marcaciones efectuadas en el Sistema de Control de Asistencia (Web) y con los permisos otorgados,,,2,ADMINISTRATIVO ENTIDAD,05/12/2019,18/12/2019,23/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL35200078_ADJUNTO.pdf 2019CPOL35200078,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL35200078.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3281-2019-CG/GRLICA-SCE,MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA,"OBRA ""MEJORAMIENTO DEL ÁREA RECREACIONAL DEL ESTADIO RAMÓN MIFFLIN PÁEZ, DISTRITO DE PUNTA HERMOSA - LIMA - LIMA"" (ETAPA I Y II)",,,6,PENAL ADMINISTRATIVO ENTIDAD,06/11/2019,15/11/2019,04/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL40100246_ADJUNTO.pdf 2019CPOL40100246,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL40100246.pdf
LIMA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3343-2019-CG/GRLICA-SCE,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,"Contratación complementaria para el servicio de recolección, transporte y disposición final de residuos sólidos en el distrito de Santa Anita, año 2019",,,8,PENAL ADMINISTRATIVO ENTIDAD,12/11/2019,13/11/2019,20/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL40100257_ADJUNTO.pdf 2019CPOL40100257,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL40100257.pdf
PIURA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5772-2019-CG/GRPI-SCE,MUNICIPALIDAD DISTRITAL DE CASTILLA,"Informe de Control Específico: Ejecución de los servicios de limpieza y descolmatación para el dren Guardia Civil y dren calle Ayacucho, Ramón Castilla, San Martín, Piura, Moquegua y Villarreal, con recursos transferidos del Fondo para Intervenciones ante la Ocurrencia de Desastres Naturales",,,7,PENAL ADMINISTRATIVO ENTIDAD,08/12/2019,19/12/2019,27/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42000148_ADJUNTO.pdf 2019CPOL42000148,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42000148.pdf
PIURA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5725-2019-CG/GRPI-SCE,MUNICIPALIDAD DISTRITAL DE LOBITOS,Pago de aguinaldos y bonificaciones a funcionarios y servidores públicos,,,11,CIVIL ADMINISTRATIVO ENTIDAD,04/12/2019,19/12/2019,24/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42000149_ADJUNTO.pdf 2019CPOL42000149,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42000149.pdf
TUMBES,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3218-2019-CG/GRTB-SCE,MUNICIPALIDAD DISTRITAL DE LA CRUZ,"Pagos efectuados a los alcaldes durante el período 2014 al 2018, por concepto de Gratificación, ocasionó perjuicio económico de S/21 336,00",,,7,CIVIL ADMINISTRATIVO ENTIDAD,30/10/2019,06/12/2019,10/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42200126_ADJUNTO.pdf 2019CPOL42200126,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42200126.pdf
TUMBES,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5782-2019-CG/GRTB-SCE,MUNICIPALIDAD DISTRITAL DE PAPAYAL,"Aplicación de penalidades por observaciones en el proceso de recepción de la obra: Mejoramiento del servicio de agua potable para consumo humano e instalación del servicio de desagüe en los caseríos de la Coja y Lechugal, del distrito de Papayal - provincia de Zarumilla - Tumbes",,,5,PENAL ADMINISTRATIVO ENTIDAD,09/12/2019,19/12/2019,27/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42200131_ADJUNTO.pdf 2019CPOL42200131,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42200131.pdf
ANCASH,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5821-2019-CG/GRAN-SCE,MUNICIPALIDAD DISTRITAL DE SANTA,"Reparación de caminos de herradura en el camino vecinal tramo centro poblado San Carlos - Huamanchacate en la localidad de Santa, departamento de Ancash",,,5,PENAL ADMINISTRATIVO ENTIDAD,11/12/2019,18/12/2019,26/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42500440_ADJUNTO.pdf 2019CPOL42500440,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42500440.pdf
ANCASH,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5829-2019-CG/GRAN-SCE,MUNICIPALIDAD DISTRITAL DE HUALLANCA-BOLOGNESI,"Informe de Control Específico - Contratación del servicio de Consultoría para la supervisión de la obra ""Mejoramiento del servicio del Camal Municipal de Huallanca - distrito de Huallanca - provincia de Bolognesi - departamento de Áncash"" , por monto menor a 8 UIT""",,,4,PENAL ADMINISTRATIVO ENTIDAD,12/12/2019,18/12/2019,24/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42500442_ADJUNTO.pdf 2019CPOL42500442,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42500442.pdf
ANCASH,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5892-2019-CG/GRAN-SCE,UNIDAD DE GESTIÓN EDUCATIVA LOCAL HUARAZ - UGEL HUARAZ,"""Pago de Devengados por incentivos laborales a personal administrativo de la Unidad de Gestión Educativa Local de Huaraz - Ancash""",,,11,PENAL ADMINISTRATIVO ENTIDAD,16/12/2019,20/12/2019,30/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL42500447_ADJUNTO.pdf 2019CPOL42500447,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL42500447.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3166-2019-CG/GRLA-SCE,MUNICIPALIDAD DISTRITAL DE MORROPE,"CARTAS FIANZA EN EL SALDO DE OBRA ""MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE SANEAMIENTO BÁSICO DE LOS CASERÍOS POSITOS, TRANCA SASAPE, TRANCA FANUPE, CASA BLANCA, FANUPE BARRIO NUEVO Y ANEXOS, DISTRITO DE MÓRROPE - LAMBAYEQUE - LAMBAYEQUE""",,,2,PENAL ADMINISTRATIVO ENTIDAD,24/10/2019,28/11/2019,04/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43000134_ADJUNTO.pdf 2019CPOL43000134,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43000134.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3168-2019-CG/GRLA-SCE,MUNICIPALIDAD DISTRITAL DE MORROPE,"CARTAS FIANZA EN EL SALDO DE OBRA MEJORAMIENTO DEL CAMINO VECINAL MÓRROPE, PEDREGAL, LAS MERCEDES, HUACA DE BARRO, LAS PAMPAS, LAGARTERA, BARRIO NUEVO, DISTRITO DE MÓRROPE - LAMBAYEQUE - LAMBAYEQUE",,,2,PENAL ADMINISTRATIVO ENTIDAD,24/10/2019,28/11/2019,10/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43000135_ADJUNTO.pdf 2019CPOL43000135,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43000135.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,4038-2019-CG/GRLA-SCE,REGION LAMBAYEQUE - HOSPITAL REGIONAL LAMBAYEQUE,Pago de Incentivo Único bajo el título de asignación transitoria,,,8,ADMINISTRATIVO ENTIDAD,25/11/2019,20/12/2019,26/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43000143_ADJUNTO.pdf 2019CPOL43000143,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43000143.pdf
LAMBAYEQUE,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3224-2019-CG/GRLA-SCE,MUNICIPALIDAD DISTRITAL DE JOSÉ LEONARDO ORTIZ,"DUPLICIDAD DE PAGO DE ORDEN DE COMPRA N° 0295-2013, A CONTRATISTA EN EL AÑO 2018 POR ADQUISICIÓN DE AGREGADOS DURANTE EL AÑO 2013, Y EL INCUMPLIMIENTO DE LA ENTREGA DE MATERIALES GENERÓ PERJUICIO ECONÓMICO A LA ENTIDAD POR EL IMPORTE DE S/ 48 249,23",,,15,PENAL ADMINISTRATIVO ENTIDAD,30/10/2019,27/11/2019,30/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43000144_ADJUNTO.pdf 2019CPOL43000144,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43000144.pdf
CAJAMARCA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3241-2019-CG/GRCA-SCE,MUNICIPALIDAD PROVINCIAL DE SAN PABLO,"PROCESO DE CULMINACIÓN Y LIQUIDACIÓN DE LA OBRA MEJORAMIENTO, AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DE LETRINAS CON ARRASTRE HIDRÁULICO EN LA LOCALIDAD DE PATIÑO, DISTRITO DE SAN PABLO - PROVINCIA DE SAN PABLO - CAJAMARCA""",,,5,PENAL ADMINISTRATIVO ENTIDAD,05/11/2019,12/12/2019,18/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43500192_ADJUNTO.pdf 2019CPOL43500192,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43500192.pdf
CAJAMARCA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3388-2019-CG/GRCA-SCE,MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA,ADQUISICIÓN DE PRODUCTOS PARA CANASTAS NAVIDEÑAS DEL AÑO 2018 MEDIANTE ENCARGO INTERNO Y SU ENTREGA AL PERSONAL DE LA MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA,,,5,CIVIL ADMINISTRATIVO ENTIDAD,18/11/2019,13/12/2019,18/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43500193_ADJUNTO.pdf 2019CPOL43500193,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43500193.pdf
CAJAMARCA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3375-2019-CG/GRCA-SCE,DIRECCIÓN REGIONAL DE TRANSPORTES Y COMUNICACIONES DE CAJAMARCA,Alquiler de Maquinaria de la Dirección Regional de Transportes y Comunicaciones de Cajamarca,,,10,PENAL ADMINISTRATIVO ENTIDAD,15/11/2019,13/12/2019,20/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL43500197_ADJUNTO.pdf 2019CPOL43500197,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL43500197.pdf
LORETO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3223-2019-CG/GRLO-SCE,MUNICIPALIDAD DISTRITAL DE YAVARI,PROCESO DE TRANSFERENCIA DE LA GESTIÓN ADMINISTRATIVA 2018,,,8,PENAL ADMINISTRATIVO ENTIDAD,30/10/2019,30/10/2019,04/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL44000136_ADJUNTO.pdf 2019CPOL44000136,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL44000136.pdf
LORETO,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,3205-2019-CG/GRLO-SCE,MUNICIPALIDAD DISTRITAL DE URARINAS,"""PROCESO DE TRANSFERENCIA DE LA GESTIÓN ADMINISTRATIVA 2018""",,,5,PENAL ADMINISTRATIVO ENTIDAD,29/10/2019,29/10/2019,24/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL44000141_ADJUNTO.pdf 2019CPOL44000141,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL44000141.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5670-2019-CG/GRIC-SCE,GOBIERNO REGIONAL ICA,Disponibilidad de Terreno para la Contratación de la Obra Mejoramiento y Ampliación de los Sistemas de Agua Potable y Alcantarillado de Nasca y Vista Alegre - Ica,,,4,CIVIL ADMINISTRATIVO ENTIDAD,29/11/2019,11/12/2019,18/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL44500229_ADJUNTO.pdf 2019CPOL44500229,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL44500229.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5675-2019-CG/GRIC-SCE,MUNICIPALIDAD PROVINCIAL DE NAZCA,Contratación de Personal bajo el régimen de Contratación Administrativa de Servicios - Convocatoria CAS N° 001-2019-MPN.,,,4,PENAL ADMINISTRATIVO ENTIDAD,29/11/2019,11/12/2019,18/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL44500230_ADJUNTO.pdf 2019CPOL44500230,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL44500230.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5640-2019-CG/GRIC-SCE,MUNICIPALIDAD DISTRITAL DE CHINCHA BAJA,Servicio de Construcción de una losa Multideportiva del CC.PP. Santa Rosa del distrito de Chincha Baja,,,4,PENAL ADMINISTRATIVO ENTIDAD,28/11/2019,11/12/2019,18/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL44500231_ADJUNTO.pdf 2019CPOL44500231,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL44500231.pdf
ICA,SERVICIO DE CONTROL ESPECÍFICO A HECHOS CON PRESUNTA IRREGULARIDAD,5702-2019-CG/GRIC-SCE,GOBIERNO REGIONAL ICA,"Proceso de Contratación de la Obra: Mejoramiento de la Carretera Departamental IC-111 (Puente Vizcas) La Peña - La Capilla - LP con Ayacucho (Ay 111 a Ocaña), Distrito y Provincia de Palpa Departamento Ica.",,,3,PENAL ADMINISTRATIVO ENTIDAD,04/12/2019,04/12/2019,18/12/2019,https://s3.amazonaws.com/spic-informes-publicados/informes/2019/12/2019CPOL44500235_ADJUNTO.pdf 2019CPOL44500235,https://s3.amazonaws.com/spic-informes-publicados/resumen/2019/12/2019CPOL44500235.pdf
